Text,Label
Sometimes I wish I was an octopus so I could slap eight people at once.,S
"Life is like a roller coaster, and I’m about to throw up.",S
I enjoy learning new skills and improving myself.,NS
"Great, now I get to try to figure out how to fix this broken printer.",S
It's amazing how clean my house can get when I'm pissed off.,S
I’m sorry while you were talking I was trying to figure where the hell you got the idea I cared.,S
My life is just a series of awkward and humiliating moments separated by snacks.,S
The book that I just read was really interesting.,NS
"Wow, that's just what I wanted to do on my day off.",NS
I wish more people were fluent in silence.,S
"The fireworks exploded in the sky, lighting up the night.",NS
I value honesty and integrity in my relationships.,NS
An optimist thinks that this is the best possible world while a pessimist fears that this is true,NS
"I don't keep secrets, I just keep people out of my business.",S
I find joy in helping others and making a positive impact in their lives.,NS
My imaginary friend says that you need a therapist.,S
"Whenever I go running, I meet new people like paramedics.",S
"Ugliness can be fixed, stupidity is forever.",S
I am excited to start a new project at work.,NS
Me pretending to listen should be enough for you.,S
She's really pulling her weight at work and taking on extra responsibilities.,NS
He decided to bite the bullet and tell his boss the truth.,NS
Instead of 'single' as a marital status they should have 'independently owned and operated.',S
Cancel my subscription because I don’t need your issues.,S
Life is full of disappointments and I just added you to the list.,S
I appreciate the beauty of nature and take time to enjoy it.,NS
Marriage is a bliss for people who aren’t in it.,S
"You’d be in good shape, if you ran as much as your mouth.",S
"Hey, can you help me with something for a minute?",NS
The sky turned pink and orange as the sun set behind the mountains.,NS
"The city skyline sparkled in the night, as if millions of stars had descended to earth.",NS
You’re not that lucky and I’m not that desperate!,S
She's always quick to spill the beans about her personal life.,NS
When a man steals your wife there is no better revenge than to let him keep her.,S
He was on cloud nine after receiving the job offer.,NS
Sometimes the first step toward forgiveness is realizing the other person was born an idiot.,S
My boss told me to have a good day so I went home.,S
I’ll always cherish the original misconception I had of you.,S
You couldn't handle me even if I came with instructions.,S
It's always a piece of cake when she's the one leading the project.,NS
I have neither the time nor the crayons to explain this to you.,S
"You were my cup of tea, but I drink champagne now.",S
He's always trying to put a square peg in a round hole with his ideas.,NS
The puppy wagged its tail excitedly at the sight of its owner.,NS
"Thanks for eating the last slice of pizza, I wasn't really that hungry anyway.",S
I am grateful for the support and love of my family.,NS
Zombies eat brains. You’re safe.,S
I woke up feeling refreshed and energized.,NS
What you said really made me think.,NS
"He took a sip of his coffee, savoring the rich, bold flavor.",NS
"Wow, I'm truly in awe of your ability to consistently disappoint.",S
She was in hot water with her parents after staying out too late.,NS
"If I had a dollar for every smart thing you say, I’d be poor.",S
"Marriage is a wonderful institution, but who wants to live in an institution?",S
"If karma doesn’t hit you, I gladly will.",S
I don’t have the energy to pretend to like you today.,S
Unless your name is Google stop acting like you know everything.,S
Apparently rock bottom has a basement.,S
"Oh, great! Another flat tire.",S
I enjoy cooking healthy meals for myself and my family.,NS
"So many people worry about their physical appearance and material possessions, that they completely disregard their crappy personality.",S
I’d agree with you but then we’d both be wrong.,S
"I'm so happy I get to work late again tonight, it's such a joy.",S
"I was so hungry, I could have eaten a horse.",NS
"If you think nobody cares if you’re alive, try missing a couple of car payments.",S
"I am busy right now, can I ignore you some other time?",S
I love spending time with my friends and having meaningful conversations.,NS
"Oh sure, let's all just follow your brilliant plan to fail spectacularly.",S
"They say good things take time, that’s why I’m always late.",S
Be the reason someone smiles today or the reason someone drinks;whatever works.,S
"I'm so glad it's raining on my outdoor event, it adds to the ambiance.",S
Sweating while you shop counts as exercise.,S
"If you’re too open-minded, your brains will fall out.",S
Didn't sleep much but I did get a solid few hours of worrying done.,S
I absolutely love it when my neighbors decide to throw a party at midnight on a workday.,S
"I’m not saying I hate you, what I’m saying is that you are literally the Monday of my life.",S
"She was walking on eggshells around her boss, trying not to upset him.",NS
Being an adult is looking both ways before you cross the street and getting hit by an airplane.,S
"I love it when people interrupt me mid-sentence, it shows they're really listening.",S
"He's the apple of his mother's eye, and she always spoils him.",NS
There's someone for everyone and that person for you is a psychiatrist.,S
She was as cool as a cucumber when faced with the difficult situation.,NS
"Oh, I'm sure that won't be a problem at all. ",NS
"I clapped because it’s finished, not because I like it.",S
I'm feeling on top of the world after achieving my goals.,NS
I always feel like a fish out of water when I'm in a new environment.,NS
"If ignorance is bliss, you must be the happiest person on this planet.",S
"Life’s good, you should get one.",S
"She closed her eyes, taking a deep breath and feeling the stress melt away.",NS
People need to start appreciating the effort I put in to not be a serial killer.,S
I don't have a welcome mat at my door because I'm not a liar.,S
He's always trying to butter up his boss for a promotion.,NS
I'm starting to think my purpose in life is to serve as a cautionary tale to others.,S
He sat down at the piano and began to play a beautiful melody.,NS
It's time for me to hit the hay and get some rest.,NS
She's got a chip on her shoulder and is always ready to argue.,NS
"The gentle breeze brushed against her skin, bringing a sense of peace and tranquility.",NS
"Thanks for getting me the wrong order, it's exactly what I wanted.",S
He's always putting his nose to the grindstone and working hard.,NS
"It might look like I’m doing nothing, but at the cellular level I’m really quite busy.",S
The flowers in the garden are blooming beautifully.,NS
My favorite party trick is not going.,S
"The leaves rustled in the breeze, creating a peaceful ambiance.",NS
He's really putting the cart before the horse with his plans.,NS
"When life gives you lemons, squeeze them in peoples' eyes.",S
"I wish I could lose weight as easily as I lose my key, pen, cell phone, temper, and even my mind.",S
Thank you for enlightening us with your vast knowledge of absolutely nothing.,S
The sun is shining brightly today.,NS
"The scent of lavender filled the air, calming her nerves.",NS
Sometimes I meet people and feel bad for their dog.,S
You're everything I want in someone I don't want anymore.,S
"If at first you don’t succeed, skydiving is not for you.",S
She's been feeling under the weather and needs some rest.,NS
If you wrote down every single thought you ever had you would get an award for the shortest story ever.,S
"I'm going to take a rain check on that invitation, I have a lot going on.",NS
Not a single one of my multiple personalities like you.,S
My alone time is sometimes for your safety.,S
"The snowflakes fell gently to the ground, creating a winter wonderland.",NS
I'm so excited to sit in the middle seat on a long-haul flight.,S
"Keep going, I'm sure you'll stumble onto a good idea eventually.",S
